bookId;filename;filesize;firstTingID;lastTingID;tingIDsCount;indexTableOffset;unknown1_;tingIDsCount_;unknown2_;unknown3_;unknown4_;resourceType_;emptyCount;mp3Count;scriptCount;mp3MinSize;mp3MaxSize;mp3FirstTingID;mp3LastTingID;scriptMinSize;scriptMaxSize;scriptFirstTingID;scriptLastTingID;Name;Publisher;Author;Book Version;URL;ThumbMD5;FileMD5;ScriptMD5;Book Area Code
00000;00000_en.ouf  ;334641      ;10001         ;10005        ;5          ;104               ;0       ;0           ;0       ;0       ;0       ;0       ;3        ;2      ;0         ;141526        ;192305        ;10001            ;10005           ;0           ;0           ;0               ;0;Commercials;Himmer AG Druckerei;Himmer AG Druckerei;631;;ce9a8241d5c252e84a28bf0f992884d2;d998fc9da6040bfe40cc0696c04c49e1;;en
00007;00007_en.ouf  ;2208468      ;15001         ;15137        ;118          ;32               ;0       ;1           ;0       ;1       ;1       ;0       ;0        ;118      ;0         ;1        ;60813        ;15001            ;15118           ;0           ;0           ;0               ;0;I love Junior;Bayard Jeunesse;Bayard Jeunesse;253;;596190d06545690de0290041e902e167;9b51bb17f2f9bbe1ac5b49c894d37685;;en
00010;00010_en.ouf  ;140782      ;15000         ;17014        ;2015          ;104               ;0       ;0           ;0       ;1       ;1       ;0       ;2007        ;4      ;4         ;26982        ;29490        ;17011            ;17014           ;7           ;13           ;17000               ;17010;Stinova OPENURL Test;Stinova;Stinova;707;;1fe8cd90e4dad2a89077cfd1b86a09c1;c279939d7c0daee787927b48a22dc8f7;3ecde827a9be3e7478c6f5ad6c9c32c3;en
00011;00011_en.ouf  ;12325135      ;19001         ;19101        ;90          ;104               ;0       ;1           ;0       ;0       ;0       ;0       ;0        ;90      ;0         ;10074        ;1777579        ;19001            ;19090           ;0           ;0           ;0               ;0;Ting Brochure English;Himmer AG Druckerei;Himmer AG Druckerei;118;;79f14d15fd265d2439ef3c3e660265d6;a9b2ade64046db887fb49f280ba5773c;;en
00015;00015_en.ouf  ;217135      ;15001         ;15032        ;32          ;104               ;0       ;0           ;0       ;0       ;0       ;0       ;0        ;11      ;21         ;15090        ;20736        ;15001            ;15027           ;7           ;205           ;15011               ;15032;Codelet Test;Himmer AG Druckerei;Himmer AG Druckerei;267;;a2440a2a17465873c8b9b6e87b40b7c7;f50c59f448e51bfcc630c6ed58ecf0ba;5095330c221890055c3855e8270407e8;en
00018;00018_en.ouf  ;2012240      ;15000         ;30000        ;15001          ;104               ;0       ;0           ;0       ;0       ;0       ;0       ;14947        ;41      ;13         ;3968        ;98176        ;16010            ;30000           ;13           ;21           ;15001               ;15104;tecnodidattica demo;tecnodidattica;tecnodidattica;1633;;10b3c7d3a752e91165a8719c1fc5c61a;5361a20cb5ec87cf73e6b39b8c9affe0;;en
00019;00019_en.ouf  ;50689      ;15000         ;15003        ;4          ;104               ;0       ;0           ;0       ;1       ;1       ;0       ;1        ;3      ;0         ;15090        ;18433        ;15001            ;15003           ;0           ;0           ;0               ;0;Test Weblinks;Himmer AG Druckerei;Tim Mager;1071;;91dca260372e74be2f84dc615a419bc1;ca5eb23352395a886371e28e06c6c881;d8674046aaa6eee41540a09cd8ed4c29;en
00020;00020_en.ouf  ;84234468      ;15001         ;23001        ;8001          ;104               ;0       ;0           ;0       ;0       ;0       ;0       ;7176        ;825      ;0         ;3511        ;4240635        ;15001            ;23001           ;0           ;0           ;0               ;0;TING Demoseiten Teststation;Himmer AG Druckerei;Himmer AG Druckerei;173;;abdcc7a3783e4025d010a35dcc41224b;90fb3a009891bd473bce14b6b3be5257;;en
00021;00021_en.ouf  ;10155530      ;15001         ;15099        ;99          ;104               ;0       ;0           ;0       ;0       ;0       ;0       ;0        ;99      ;0         ;20964        ;5185884        ;15001            ;15099           ;0           ;0           ;0               ;0;Probeseiten;Verlag Handerk & Technik;Verlag Handerk & Technik;171;;21eb6d2fcc6986e32d7ce27cf6a25f48;41a6e8c85e3d356c5dfd8bf1e2c4050d;;en
00022;00022_en.ouf  ;2159265      ;15001         ;19099        ;4099          ;104               ;0       ;0           ;0       ;0       ;0       ;0       ;3804        ;166      ;129         ;2808        ;72245        ;15001            ;17101           ;5           ;1185           ;15505               ;19099;Ting Testspiel;Ting Co. Ltd.;Hannes Eisele;166;;708914c113b7e464b5ef7c96a3495f8b;0c8011a3f806a18dd9f4429e0c100f20;;en
