bookId;cmd_end;cmd_clearver;cmd_set;cmd_cmp;cmd_and;cmd_or;cmd_not;cmd_0x07;cmd_jmp;cmd_je;cmd_jne;cmd_jg;cmd_jge;cmd_jb;cmd_jbe;cmd_add;cmd_sub;cmd_0x11;cmd_0x12;cmd_0x13;cmd_call;cmd_callid;cmd_playoid;cmd_pause;cmd_0x18;cmd_0x19;optype_None;optype_RV;optype_RR;v0;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39;v40;v41;v42;v43;v44;v45;v46;v47;v48;v49;v50;v51;v52;v53;v54;v55;v56;v57;v58;v59;v60;v61;v62;v63;v64;v65;v66;v67;v68;v69;v70;v71;v72;v73;v74;v75;v76;v77;v78;v79;v80;v81;v82;v83;v84;v85;v86;v87;v88;v89;v90;v91;v92;v93;v94;v95;v96;v97;v98;v99;minRegisterIndex;maxRegisterIndex;Name;Publisher;Author;Book Version;URL;ThumbMD5;FileMD5;ScriptMD5;Book Area Code
00010;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;7;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;Stinova OPENURL Test;Stinova;Stinova;707;;1fe8cd90e4dad2a89077cfd1b86a09c1;c279939d7c0daee787927b48a22dc8f7;3ecde827a9be3e7478c6f5ad6c9c32c3;en
00015;21;3;38;30;0;0;0;0;34;25;0;0;0;5;0;4;1;0;0;0;2;0;112;4;0;0;69;177;12;0;39;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;3;7;6;1;3;1;99;Codelet Test;Himmer AG Druckerei;Himmer AG Druckerei;267;;a2440a2a17465873c8b9b6e87b40b7c7;f50c59f448e51bfcc630c6ed58ecf0ba;5095330c221890055c3855e8270407e8;en
00018;13;8;13;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;18;0;0;0;8;26;10;13;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;tecnodidattica demo;tecnodidattica;tecnodidattica;1633;;10b3c7d3a752e91165a8719c1fc5c61a;5361a20cb5ec87cf73e6b39b8c9affe0;;en
00022;129;2;373;4636;2;0;0;0;4599;397;0;4217;4;16;2;197;4105;0;0;0;7;0;8569;0;0;0;9244;17487;395;8500;37;37;37;37;37;37;38;36;16;2;242;27;11;4;9;57;16;10;105;7;29;7;9;13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;8;6;2;0;99;Ting Testspiel;Ting Co. Ltd.;Hannes Eisele;166;;708914c113b7e464b5ef7c96a3495f8b;0c8011a3f806a18dd9f4429e0c100f20;;en
00023;129;2;373;4636;2;0;0;0;4599;397;0;4217;4;16;2;197;4105;0;0;0;7;0;8569;0;0;0;9244;17487;395;8500;37;37;37;37;37;37;38;36;16;2;242;27;11;4;9;57;16;10;105;7;29;7;9;13;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;8;6;2;0;99;Ting Testspiel Englisch;Himmer AG Druckerei;Hannes Eisele;175;;708914c113b7e464b5ef7c96a3495f8b;257646ae4530efc292b72ec753b5a965;;en
00024;10000;0;10000;420000;0;0;0;0;430000;10000;0;410000;0;0;0;10000;410000;0;0;0;0;0;830000;0;0;0;850000;1660000;20000;850000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;0;0;0;0;95;TESTPEN;Himmer AG Druckerei;Hannes Eisele;168;;7ce755daa2c7ff6c7e7b3c47167191da;191c025c0961fde5fdeeeca70479c245;;en
00035;30;1;44;131;6;6;6;0;39;28;98;0;1;0;4;13;20;0;0;0;5;3;103;0;0;0;176;300;32;11;13;16;16;11;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;7;7;1;1;1;1;1;1;1;1;1;16;1;1;1;1;1;1;1;9;5;0;0;2;8;23;1;2;2;1;2;0;99;Firmware Testbook;Stinova;Stinova;1325;;051f17ca29e9c8589db2d3f68c099ba8;b43a0ebaf6130a3d5ac5d73dff682f72;;en
00038;1;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;12;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;50;Dump Test;Himmer AG;Tim Mager;401;;4a4292cb908b6fbe1045ffc19722d941;8495915d2c9fb2186c117a9494ea5ba6;;en
00041;805;955;22197;31872;0;0;0;0;20638;14578;904;0;65;0;16325;15280;1434;0;0;0;28;0;5290;0;0;0;53493;52888;23185;0;776;775;776;774;775;774;775;775;778;775;774;772;680;680;597;432;287;287;99;99;99;99;99;99;99;0;0;0;0;17944;816;0;0;0;0;0;0;0;0;402;744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;679;679;0;0;0;0;0;32650;0;0;0;0;2181;0;0;0;10;363;1529;1451;1;99;Testaktivierung Langenscheidt;Langenscheidt;Langenscheidt;549;;7960979e9d1888fe08d81f13f1ad5ffd;2c10d5d5e0b96c1f787cd1c63f615df5;;en
00050;78;0;367;415;0;0;0;0;255;349;192;0;0;66;0;19;0;0;0;0;0;0;425;0;0;0;862;1214;12;0;207;9;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;15;54;19;43;8;8;8;8;8;8;16;28;13;13;13;13;6;13;16;11;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;7;6;3;1;99;Bremen Map;tingplus;Dörte Brockmann;1030;;e524cd675a415ed2f320f8d3fb4c1be7;3adc287f42e7494523d884c316a15311;;en
00051;6;0;6;6;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;12;21;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Museumsdemo;Ascan Möller;Ascan Möller;984;;380c3273b8bb151e9c8f758d6419a2f9;f7eeae036d95e859bfa22f9880137f77;;en
05045;158;86;419;494;0;0;0;0;409;460;34;0;0;0;0;16;0;0;0;0;0;0;323;0;0;0;989;1252;0;0;9;2;2;2;2;2;2;2;2;9;14;14;14;14;14;14;14;14;14;14;14;14;14;14;26;10;10;10;10;10;10;10;10;10;10;9;2;2;2;2;2;2;2;2;6;7;7;7;7;7;6;14;14;14;14;14;14;14;14;14;14;14;14;14;14;34;9;9;9;9;9;8;9;9;9;10;0;10;10;10;10;10;10;10;10;10;51;10;6;6;6;6;6;0;0;0;0;0;0;1;93;Bauernhof Rätsel;arsEdition;Corina Beurenmeister;255;;963091a6d6854ddb7c89cd9b532ba22a;66287f1f855aa1dbd53a56f5155a91fe;9b28c79405e513dabad4094a1869aa21;en
05046;137;86;235;373;0;0;0;0;342;374;0;0;0;0;0;11;0;0;0;0;0;0;272;0;0;0;802;891;0;0;6;6;6;6;33;2;2;2;2;2;6;7;7;7;7;7;7;7;7;7;7;7;6;7;2;2;2;2;2;2;12;12;12;12;12;12;12;12;12;12;12;12;14;14;14;14;14;14;14;14;14;14;14;14;14;14;6;6;6;6;6;6;6;6;6;6;6;9;9;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;73;Baustellen-Rätsel;arsEdition;Corina Beurenmeister;206;;c61c4b43c49fb63d92c29d09fce289ba;60b90a1c9bf3d111197d3b9c45f40fb8;1d77609463cd1182e313ea1435ba8c7c;en
